Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C2",0603,3,27pF,
"C10, C11, C15, C3, C4, C9",0603,6,1uF,
"C12, C13",C_Radial_D4.0mm_H5.0mm_P1.50mm,2,470uF,
C14,C_Radial_D4.0mm_H5.0mm_P1.50mm,1,0.22uF,
"C5, C6",0603,2,100pF,
C7,0603,1,3.3uF,
C8,0603,1,0.1uF,
"D1, D2",0603,2,LED,
"J2_2, J4",Jack_3.5mm_CUI_SJ1-3523N_Horizontal,2,AudioJack3,
L1,0603,1,1uH,
R1,0603,1,1.5k,
"R10, R11, R2, R3, R4, R5",0603,6,3.3k,
"R6, R7",0603,2,22,
R8,0603,1,1M,
R9,0603,1,1k,
U1,QFP80P900X900X120-32N,1,PCM2912APJTR,
Y1,XTAL_ABLS-6.000MHz-20-B-3-H-T,1,6MHz,
