Designator,Mid X,Mid Y,Rotation,Layer
C1,149.17,-91.45,180.0,top
C10,135.14,-64.1,90.0,top
C11,136.66,-64.1,90.0,top
C12,138.94,-55.37,90.0,top
C13,145.38,-55.27,90.0,top
C14,124.21,-56.58,90.0,top
C15,128.15,-67.11,270.0,top
C16,138.34,-64.1,90.0,top
C2,153.06,-91.49,0.0,top
C3,129.55,-82.225,270.0,top
C4,136.06,-82.22,270.0,top
C5,144.955,-77.88,0.0,top
C6,144.955,-76.36,0.0,top
C7,149.87,-75.67,90.0,top
C8,144.955,-73.33,180.0,top
C9,144.955,-71.81,0.0,top
L1,131.1,-82.225,90.0,top
R1,139.81,-85.57,270.0,top
R2,140.09,-60.95,0.0,top
R3,135.11,-51.75,90.0,top
R4,149.12,-51.75,270.0,top
R5,150.74,-59.58,180.0,top
R6,132.71,-82.225,90.0,top
R7,134.33,-82.225,90.0,top
R8,150.705,-81.19,180.0,top
R9,128.34,-55.99,90.0,top
U1,135.53,-72.86,90.0,top
Y1,150.705,-85.6,180.0,top
